discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_spectype,st_teff,sy_dist,pl_name
,2013,10.95307834,,,,,,,5368.85,376.863,
,2013,10.91610834,,,,,,,5368.85,376.863,
,2013,10.91610834,0.098,3.93,,78.19,758,,5575,376.863,
,2013,10.95416,,3.78,8.7,,,,5471,376.863,
,2013,10.91610834,0.098,3.93,,78.19,758,,5575,376.863,
,2013,10.916386,0.098,3.78,,,791,,5621,376.863,
,2013,22.26492,,,214.1,,,,5466,376.863,
,2013,22.3395,0.15525,,198.8,,,,5471,376.863,
,2019,20.4074846,0.1473,2.9,,44.8,660,,5823,1131.64,
,2019,20.4071345,0.1473,1.76,,44.8,660,,5823,1131.64,
,2019,20.4415,0.14728,1.9,4.6,,,,,1131.64,
,2019,20.41724,0.143,1.9,,,645,,5760,1131.64,
,2019,20.4074846,,,,,,,5833,1131.64,
,2019,20.4071345,0.1473,1.76,,44.8,660,,5823,1131.64,
,2019,20.40857074,,,,,,,5833,1131.64,
,2019,20.4071345,0.1473,1.76,,44.8,660,,5823,1131.64,
,2019,13.6164547,,,,,,,5833,1131.64,
,2019,13.6141,0.109,1.9,,,739,,5760,1131.64,
,2019,13.6163456,0.1125,64.05,,76.81,755,,5823,1131.64,
,2019,13.6164547,0.1125,22.29,,76.81,755,,5823,1131.64,
,2019,13.6163456,0.1125,64.05,,76.81,755,,5823,1131.64,
,2019,13.6088,0.112293,1.9,9,,,,,1131.64,
,2019,13.6163456,0.1125,64.05,,76.81,755,,5823,1131.64,
,2020,134.4786723,0.5187,7.5,,4.55,372,,6215,865.73,
,2020,134.4785088,,,,,,,5995,865.73,
,2020,134.47972,0.533,8.5,,,382,,6235,865.73,
,2020,134.4786723,0.5187,7.5,,4.55,372,,6215,865.73,
,2020,134.4785189,,,,,,,5995,865.73,
,2020,134.4785189,0.5135,10.52,,6.81,412,,5791,865.73,
,2020,134.4786723,0.5187,7.5,,4.55,372,,6215,865.73,
,2020,134.4628,,8.86,71,5.7,,,5922,865.73,
,2020,284.063137,0.8453,6.36,,2.51,321,,5791,865.73,
,2020,284.215,,5.44,15,2.49,,,5922,865.73,
,2020,284.060953,0.8539,4.4,,1.68,290,,6215,865.73,
,2020,284.0423,0.877,5.2,,,298,,6235,865.73,
,2020,284.060953,0.8539,4.4,,1.68,290,,6215,865.73,
,2020,284.0730982,,,,,,,5995,865.73,
,2020,284.063137,,,,,,,5995,865.73,
,2020,284.060953,0.8539,4.4,,1.68,290,,6215,865.73,
,2021,34.20578508,,,,,,,5214,501.574,
,2021,34.2069395,0.199,1.13,,11.98,474,,5355,501.574,
,2021,34.20578508,0.1949,1.1,,11.67,471,,5191,501.574,
,2021,34.19311054,,,,,,,5214,501.574,
,2021,34.2069395,0.199,1.13,,11.98,474,,5355,501.574,
,2021,34.2069395,0.199,1.13,,11.98,474,,5355,501.574,
,2021,34.2069,0.196,1.3,,,459,,5319,501.574,
,2021,34.169,,1.13,2.23,,475,,5233,501.574,
,2021,7.685,,2.58,11.02,,613,,4413,290.324,
,2021,7.68433346,,,,,,,4442,290.324,
,2021,7.68433241,,,,,,,4442,290.324,
,2021,7.68433487,0.0632,1.95,,27.88,586,,4397,290.324,
,2021,7.68433346,0.0634,2.58,,27.35,583,,4402,290.324,
,2021,7.68433487,0.0632,1.95,,27.88,586,,4397,290.324,
,2021,7.68433487,0.0632,1.95,,27.88,586,,4397,290.324,
,2010,3.9050824,,,,,,,5381,914.699,
,2010,3.90512604,,14.55,,300.16,1062,,5381,914.699,
,2010,3.90508168,0.0485,12.78,,282.59,1046,,5543,914.699,
,2010,3.90512,0.0477,12.442,,,,,5545,914.699,
,2010,,,12.505,,272.03,,,5545,914.699,
,2010,3.90508198,0.0485,13.14,,282.59,1046,,5543,914.699,
,2010,3.90508198,0.0485,13.14,,282.59,1046,,5543,914.699,
,2010,3.90508194,,,,,,,5381,914.699,
,2010,3.90508198,0.0485,13.14,,282.59,1046,,5543,914.699,
,2010,3.905081,0.047,11.7,,,1028,,5595,914.699,
,2010,3.90508198,,13.08,,,,,5525,914.699,
,2010,3.90508168,,,,,,,5381,914.699,
,2021,21.1875846,0.1457,0.77,,48.81,674,,6338,887.064,
,2021,21.1875846,0.1457,0.77,,48.81,674,,6338,887.064,
,2021,21.185,,1.19,9.2,,785,,6001,887.064,
,2021,21.1876185,,,,,,,5997.65,887.064,
,2021,21.1876185,0.1462,0.79,,49.23,676,,6355,887.064,
,2021,21.1875846,0.1457,0.77,,48.81,674,,6338,887.064,
,2021,31.8245304,,,,,,,5997.65,887.064,
,2021,31.828,,1.21,10.36,,686,,6001,887.064,
,2021,31.8245304,0.1911,0.8,,28.37,589,,6338,887.064,
,2021,31.8245304,0.1911,0.8,,28.37,589,,6338,887.064,
,2013,7.00828076,0.0709,1.15,,299.49,1061,,6238,848.254,
,2013,7.008151,0.074,1.31,,,,,6080,848.254,
,2013,7.00821787,,,,,,,6031.13,848.254,
,2013,7.00823498,,,,,,,6031.13,848.254,
,2013,,,1.302,,316.44,,,6015,848.254,
,2013,7.00828076,0.0709,1.15,,299.49,1061,,6238,848.254,
,2013,7.008233,0.075,1.16,,,1056,,6330,848.254,
,2013,7.00821787,0.0738,1.29,,300.58,1062,,5970,848.254,
,2013,8.71980135,,,,,,,6031.13,848.254,
,2013,8.71975915,,,,,,,6031.13,848.254,
,2013,8.71989,0.087,1.36,,,981,,6330,848.254,
,2013,8.71980135,0.0854,1.53,,224.47,987,,5970,848.254,
,2013,8.71982853,0.0821,1.29,,223.35,986,,6238,848.254,
,2013,,,1.544,,236.31,,,6015,848.254,
,2013,8.71982853,0.0821,1.29,,223.35,986,,6238,848.254,
,2013,8.719375,0.089,1.19,,,,,6080,848.254,
,2013,,,2.866,,18.17,,,6015,848.254,
,2013,59.73721246,,,,,,,6031.13,848.254,
,2013,59.7371443,,,,,,,6031.13,848.254,
,2013,59.73667,0.32,2.87,,,,,6080,848.254,
,2013,59.7370348,0.296,2.55,,17.18,519,,6238,848.254,
,2013,59.7367919,,,,,,,6031.13,848.254,
,2013,59.7370348,0.296,2.55,,17.18,519,,6238,848.254,
,2013,59.7371443,0.308,2.84,,17.26,520,,5970,848.254,
,2013,59.73716,0.312,2.5,,,518,,6330,848.254,
,2013,,,2.646,,10.23,,,6015,848.254,
,2013,91.9404603,0.3945,2.32,,9.67,450,,6238,848.254,
,2013,91.94069,0.416,2.25,,,448,,6330,848.254,
,2013,91.9401253,0.4105,2.62,,9.71,450,,5970,848.254,
,2013,91.9404603,0.3945,2.32,,9.67,450,,6238,848.254,
,2013,91.9401253,,,,,,,6031.13,848.254,
,2013,91.93913,0.42,2.66,,,,,6080,848.254,
,2013,91.93984249,,,,,,,6031.13,848.254,
,2013,91.93933735,,,,,,,6031.13,848.254,
,2013,124.922516,0.5036,3.37,,6.45,407,,5970,848.254,
,2013,124.9144,0.48,2.88,,,,,6080,848.254,
,2013,,,3.402,,6.8,,,6015,848.254,
,2013,124.916337,0.484,2.46,,6.43,406,,6238,848.254,
,2013,124.9134973,,,,,,,6031.13,848.254,
,2013,124.922516,,,,,,,6031.13,848.254,
,2013,124.916337,0.484,2.46,,6.43,406,,6238,848.254,
,2013,210.59659,0.724,6.8,,,340,,6330,848.254,
,2013,210.6013843,,,,,,,6031.13,848.254,
,2013,210.5935133,,,,,,,6031.13,848.254,
,2013,210.60697,0.71,8.1,,,,,6080,848.254,
,2013,210.6031105,0.6856,6.86,,3.2,341,,6238,848.254,
,2013,210.603,,8.07,254.264,,,,6080,848.254,
,2013,,,7.766,,3.39,,,6015,848.254,
,2013,210.6013843,0.7133,7.7,,3.22,342,,5970,848.254,
,2013,210.6031105,0.6856,6.86,,3.2,341,,6238,848.254,
,2013,210.5933407,,,,,,,6031.13,848.254,
,2013,331.6011081,,11.44,,,,,6031.13,848.254,
,2013,331.643,0.98,9.8,,,292,,6330,848.254,
,2013,331.6011081,0.9279,10.01,,1.75,293,,6238,848.254,
,2013,331.60059,1.01,11.3,,,,,6080,848.254,
,2013,331.5972732,0.9654,10.89,,1.76,294,,5970,848.254,
,2013,331.6011081,0.9279,10.01,,1.75,293,,6238,848.254,
,2013,331.6011081,0.9279,10.01,,1.75,293,,6238,848.254,
,2013,331.601,,11.321,381.396,,,,6080,848.254,
,2013,,,10.987,,1.85,,,6015,848.254,
,2013,331.5972732,,,,,,,6031.13,848.254,
,2018,141.2416467,0.5319,10.64,,3.25,342,,5926,921.986,
,2018,141.2416467,0.5319,10.64,,3.25,342,,5926,921.986,
,2018,141.2415405,,,,,,,5708.11,921.986,
,2018,141.241743,,,,,,,5708.11,921.986,
,2018,141.241671,0.534,11.097,613.4119,,347,,5830,921.986,
,2018,141.2415405,0.5205,11.49,,3.62,352,,5705,921.986,
,2018,141.2416467,0.5319,10.64,,3.25,342,,5926,921.986,
,2014,0.82400012,0.0113,0.42,,73.09,746,,3396,172.245,
,2014,0.82400012,0.0113,0.42,,73.09,746,,3396,172.245,
,2014,0.82400012,0.0113,0.42,,73.09,746,,3396,172.245,
,2014,0.412,0.008,0.51,99.2,320,1180,,3515,172.245,
,2014,0.82400012,,,,,,,3527,172.245,
,2011,0.240104,0.006,0.759,0.44,,,B,27730,1231.02,
,2011,0.342887,0.0076,0.867,0.655,,,B,27730,1231.02,
,2022,6.842939,0.0678,3.94,,99.24,805,,5225,264.995,
,2022,6.842939,,,,,,,4823.55,264.995,
,2022,6.842939,,,,,,,4823.55,264.995,
,2022,6.8430344,,2.22,,,,,5241,264.995,
,2022,24.2783801,,,,,,,4225,271.277,
,2022,24.278553,,2.34,,,,K6 V,4324,271.277,
,2022,24.2783801,0.1456,2.03,,8.27,432,,4450,271.277,
,2013,3.74317556,0.0485,1.55,,885.02,1391,,6098,477.052,
,2013,,,1.557,,1053.18,,,6181,477.052,
,2013,3.74316673,0.0488,1.5,,971.76,1423,,6181,477.052,
,2013,3.74317556,0.0485,1.55,,885.02,1391,,6098,477.052,
,2013,3.74316827,,,,,,,6184,477.052,
,2013,3.74317556,,1.58,,,,,6210,477.052,
,2013,3.743245,0.051,1.73,,,1488,,6184,477.052,
,2013,3.74317556,0.0485,1.55,,885.02,1391,,6098,477.052,
,2013,3.74312602,,,,,,,6184,477.052,
,2013,3.74316673,,,,,,,6184,477.052,
,2013,3.743208,0.05119,1.71,10.5,,1486,,6182,477.052,
,2013,10.424,,3.8,7.8,,,,,477.052,
,2013,10.42367777,0.096,3.66,,225.89,989,,6098,477.052,
,2013,10.42367777,,3.72,,,,,6210,477.052,
,2013,10.423707,0.101,4.22,,,1058,,6184,477.052,
,2013,10.42367777,0.096,3.66,,225.89,989,,6098,477.052,
,2013,10.423648,0.1013,4.32,15.6,,1012,,6182,477.052,
,2013,10.42363688,,,,,,,6184,477.052,
,2013,10.42367744,0.0967,3.72,,247.48,1012,,6181,477.052,
,2013,10.42367744,,,,,,,6184,477.052,
,2013,10.4236892,,,9.4,,,,6184,477.052,
,2013,10.42368297,,,,,,,6184,477.052,
,2013,10.42367777,0.096,3.66,,225.89,989,,6098,477.052,
,2013,,,3.861,,268.22,,,6181,477.052,
,2013,22.34296483,0.1607,9.99,,89.61,785,,6181,477.052,
,2013,22.342971,,,,,,,6182,477.052,
,2013,22.343001,0.168,11.4,,,820,,6184,477.052,
,2013,,,10.377,,97.12,,,6181,477.052,
,2013,22.34296958,0.1596,9.77,,81.73,767,,6098,477.052,
,2013,22.34296958,0.1596,9.77,,81.73,767,,6098,477.052,
,2013,22.3429704,,,52.1,,,,6184,477.052,
,2013,22.342989,0.1684,11.27,106,,806,,6182,477.052,
,2013,22.34297117,,,,,,,6184,477.052,
,2013,22.34296958,0.1596,9.77,,81.73,767,,6098,477.052,
,2013,22.3428773,,11.336,,99.09,805,,6184,477.052,
,2013,22.34296483,,,,,,,6184,477.052,
,2013,22.343,,10.1,58.4,,,,,477.052,
,2013,22.34296958,,9.95,,,,,6210,477.052,
,2013,22.34296949,,,,,,,6184,477.052,
,2013,54.319832,,,13,,,,6184,477.052,
,2013,54.31998605,0.2885,5.79,,25.01,570,,6098,477.052,
,2013,54.31998605,0.2885,5.79,,25.01,570,,6098,477.052,
,2013,,,6.31,,29.7,,,6181,477.052,
,2013,54.31998605,0.2885,5.79,,25.01,570,,6098,477.052,
,2013,54.32009167,,,,,,,6184,477.052,
,2013,54.31998605,,5.89,,,,,6210,477.052,
,2013,,,8.921,,138.58,875,,6184,477.052,
,2013,54.31996151,,,,,,,6184,477.052,
,2013,54.31996151,0.2906,6.07,,27.4,584,,6181,477.052,
,2013,54.3199815,,,,,,,6184,477.052,
,2013,54.32031,0.3046,6.56,35,,584,,6182,477.052,
,2013,54.31993,0.305,6.73,,,609,,6184,477.052,
,2022,4.28745547,0.0516,2.78,,234.19,998,,5505,252.667,
,2022,4.28745547,0.0516,2.78,,234.19,998,,5505,252.667,
,2022,4.28816271,,,,,,,5284.68,252.667,
,2022,4.28746668,,,,,,,5284.68,252.667,
,2022,4.2881785,0.0504,4.3,,,1022,,5295,252.667,
,2022,4.28746668,0.0501,2.29,,186.31,942,,5296,252.667,
,2022,4.28745547,0.0516,2.78,,234.19,998,,5505,252.667,
,2022,4.2881785,0.0504,,,,1022,,5295,252.667,
,2022,4.2873775,0.052,3.19,,,1023,,5515,252.667,
,2022,21.512,0.1467,,209.8,,597,,5295,252.667,
,2022,8.5999,0.0796,,24,,943,,5295,252.667,
,2018,1.7063254,,,,,,,,262.706,
,2018,1.7063241,,,,,,K1 V,5165,262.706,
,2018,1.706291,0.0269,11.545,346.4347,729,1459,K1 V,5165,262.706,
,2018,1.706304,,,,,,K1 V,5165,262.706,
,2018,1.7063264,,10.2,,235.77,1091,,4974,262.706,
,2014,121.54,0.311,,7,,,,3550,3.93305,
,2011,0.83749026,,1.473,,,,,5706,185.506,
,2011,0.83749128,,,,,,,5706,185.506,
,2011,0.83749122,,,,,,,5706,185.506,
,2011,0.83749133,0.0168,1.45,,3545.07,1968,,5627,185.506,
,2011,0.8374907,0.01685,1.47,3.26,3820,2188,,5708,185.506,
,2011,0.83749968,,2.005,,3684.52,1987,,5706,185.506,
,2011,0.83749122,0.0167,1.43,,3630.32,1980,,5676,185.506,
,2011,0.8374912,0.01687,1.46,4.6,,2160,,5643,185.506,
,2011,0.837501,,,3.24,,,,5706,185.506,
,2011,0.83749133,,1.51,,,,,5705,185.506,
,2011,0.8374908,0.017,1.37,,,1903,,5627,185.506,
,2011,,,,,,,,5706,185.506,
,2011,,,1.489,,3741.78,,,5599,185.506,
,2011,0.8374907,0.01685,1.47,3.33,,2169,,5708,185.506,
,2011,0.837491,0.0172,1.481,4.60853,,2130,,5627,185.506,
,2011,0.83749133,0.0168,1.45,,3545.07,1968,,5627,185.506,
,2011,0.837495,0.01684,1.416,4.56,,1833,,5627,185.506,
,2011,0.83749133,0.0168,1.45,,3545.07,1968,,5627,185.506,
,2011,0.83749149,,,,,,,5706,185.506,
,2011,0.837,,1.489,3.57,,,,5708,185.506,
,2011,0.8374907,0.01685,1.47,3.72,,,,5708,185.506,
,2011,45.29430079,,,,,,,5706,185.506,
,2011,45.29427,0.2413,2.32,,,,,5643,185.506,
,2011,45.294301,0.241,2.35,13.98,,,,5708,185.506,
,2011,45.294301,0.241,2.355,11.4,18.68,578,,5708,185.506,
,2011,45.29431717,0.2397,2.28,,17.41,521,,5627,185.506,
,2011,45.29431717,,2.32,,,,,5705,185.506,
,2011,45.2941835,,,,,,,5706,185.506,
,2011,45.2946,,,7.37,,,,5706,185.506,
,2011,45.29431717,0.2397,2.28,,17.41,521,,5627,185.506,
,2011,45.294292,,2.323,,,,,5706,185.506,
,2011,45.294301,,2.35,17.2,,584,,5708,185.506,
,2011,,,2.351,,18.3,,,5599,185.506,
,2011,45.29485,0.2407,2.227,20,,485,,5627,185.506,
,2011,45.29422297,,,,,,,5706,185.506,
,2011,45.29406,0.241,2.19,,,505,,5627,185.506,
,2011,45.294314,,,,,,,5706,185.506,
,2011,45.29431717,0.2397,2.28,,17.41,521,,5627,185.506,
,2011,45.29422297,0.2388,2.26,,17.75,524,,5676,185.506,
,2023,151.04,0.5379,,12.68,,,,5708,185.506,
,2014,6.88707073,,,,,,,5859,304.645,
,2014,6.88705,,1.32,7.34,,,,5825,304.645,
,2014,6.88706037,0.0727,1.31,,432.81,1163,,5825,304.645,
,2014,6.88701386,,,,,,,5859,304.645,
,2014,6.88706037,0.0727,1.31,,432.81,1163,,5825,304.645,
,2014,6.887037,,1.305,,,,,5859,304.645,
,2014,6.88707073,0.072,1.3,,420.97,1155,,5788,304.645,
,2014,6.88734443,,,,,,,5859,304.645,
,2014,6.88706037,,1.31,,,,,5884,304.645,
,2014,6.887099,0.073,1.24,,,1071,,5909,304.645,
,2014,,,1.353,,478.21,,,5854,304.645,
,2014,6.88706037,0.0727,1.31,,432.81,1163,,5825,304.645,
,2014,12.81588378,,2.29,,,,,5884,304.645,
,2014,12.81590421,,,,,,,5859,304.645,
,2014,12.81586397,,,,,,,5859,304.645,
,2014,,,2.355,,208.66,,,5854,304.645,
,2014,12.8159,,2.2,7.05,,,,5825,304.645,
,2014,12.81590421,0.109,2.26,,183.68,939,,5788,304.645,
,2014,12.81588378,0.11,2.28,,189.05,946,,5825,304.645,
,2014,12.81588378,0.11,2.28,,189.05,946,,5825,304.645,
,2014,12.81587113,,,,,,,5859,304.645,
,2014,12.81588378,0.11,2.28,,189.05,946,,5825,304.645,
,2014,12.815909,,2.221,,,,,5859,304.645,
,2014,12.815735,0.111,2.08,,,869,,5909,304.645,
,2014,35.3330866,0.2163,1.5,,48.89,674,,5825,304.645,
,2014,35.33358967,,,,,,,5859,304.645,
,2014,35.3330866,,1.48,,,,,5884,304.645,
,2014,35.3331932,0.2143,1.55,,47.52,670,,5788,304.645,
,2014,35.33314,0.218,1.4,,,620,,5909,304.645,
,2014,35.3330866,0.2163,1.5,,48.89,674,,5825,304.645,
,2014,35.33313,,1.514,,,,,5859,304.645,
,2014,35.3331,,1.61,3,,,,5825,304.645,
,2014,,,1.61,,53.98,,,5854,304.645,
,2014,35.3330866,0.2163,1.5,,48.89,674,,5825,304.645,
,2014,35.33221177,,,,,,,5859,304.645,
,2014,35.3331932,,,,,,,5859,304.645,
,2016,120.019,0.519,4.3,,,489,,6741,1115.62,
,2016,120.0191845,,,,,,,6469.13,1115.62,
,2016,120.0181272,0.5244,4.67,,14.87,501,,6749,1115.62,
,2016,120.0181272,,4.76,,,,,6453,1115.62,
,2016,120.0186265,,,,,,,6469.13,1115.62,
,2016,120.0181272,0.5244,4.67,,14.87,501,,6749,1115.62,
,2016,120.0183551,,,,,,,6469.13,1115.62,
,2016,120.0183551,0.5337,4.54,,11.84,473,,6469,1115.62,
,2016,,,5.668,,18,,,6421,1115.62,
,2016,120.0181272,0.5244,4.67,,14.87,501,,6749,1115.62,
,2016,14.30511983,0.1128,3.11,,55.23,695,,5735,928.978,
,2016,14.30517579,0.1129,3.05,,54.59,693,,5741,928.978,
,2016,14.3052,0.114,2.9,,,693,,5734,928.978,
,2016,,,2.935,,40.85,,,5440,928.978,
,2016,14.30511863,,,,,,,5376,928.978,
,2016,14.30512269,,,,,,,5376,928.978,
,2016,14.30511983,0.1128,3.11,,55.23,695,,5735,928.978,
,2016,14.30517579,,,,,,,5376,928.978,
,2016,14.30511983,,3.15,,,,,5491,928.978,
,2016,14.30511983,0.1128,3.11,,55.23,695,,5735,928.978,
,2020,9.18189122,,,,,,,5376,928.978,
,2020,9.18186435,0.084,1.55,,99.6,806,,5735,928.978,
,2020,9.18186435,0.084,1.55,,99.6,806,,5735,928.978,
,2020,9.18186435,0.084,1.55,,99.6,806,,5735,928.978,
,2020,9.18186,,1.578,,,,,5376,928.978,
,2020,9.18186,0.085,1.9,,,802,,5734,928.978,
,2020,9.18189122,0.084,2.17,,98.61,804,,5741,928.978,
,2016,4.33642933,,1.71,,,,,6144,408.303,
,2016,4.33642165,,,,,,,5907.13,408.303,
,2016,4.33642556,,,,,,,5907.13,408.303,
,2016,4.336491,0.055,1.5,,,1308,,6045,408.303,
,2016,4.33643506,0.0564,1.75,,1054.56,1453,,6180,408.303,
,2016,4.33643506,,,,,,,5907.13,408.303,
,2016,4.33642933,0.0553,1.63,,981.68,1428,,6099,408.303,
,2016,4.33642933,0.0553,1.63,,981.68,1428,,6099,408.303,
,2016,4.33642933,0.0553,1.63,,981.68,1428,,6099,408.303,
,2016,3.55485691,0.0445,1.3,,421.09,1155,,6068,941.902,
,2016,3.55485675,,,,,,,6010,941.902,
,2016,3.55485691,,1.78,,,,,6109,941.902,
,2016,3.55485634,0.0444,1.29,,425.04,1157,,6068,941.902,
,2016,3.55485634,,,,,,,6010,941.902,
,2016,3.55485691,0.0445,1.3,,421.09,1155,,6068,941.902,
,2016,3.55485691,0.0445,1.3,,421.09,1155,,6068,941.902,
,2016,,,2.035,,814.92,,,5672,941.902,
,2016,3.554901,0.047,1.5,,,1230,,6114,941.902,
,2016,3.55486178,,,,,,,6010,941.902,
,2016,5.28789787,0.0665,7.09,,1805.27,1662,,4992,1152.68,
,2016,5.28789787,,6.28,,,,,4972,1152.68,
,2016,5.288016,0.077,17.1,,,2388,,4998,1152.68,
,2016,5.28790754,,,,,,,4917.72,1152.68,
,2016,5.28788991,,,,,,,4917.72,1152.68,
,2016,5.28789787,0.0665,7.09,,1805.27,1662,,4992,1152.68,
,2016,5.28789787,0.0665,7.09,,1805.27,1662,,4992,1152.68,
,2016,,,6.668,,1610.09,,,5008,1152.68,
,2016,5.28785367,,,,,,,4917.72,1152.68,
,2016,5.28790754,0.0671,7.1,,1802.31,1661,,4994,1152.68,
,2016,6.49801525,0.0663,1.52,,262.88,1027,,5718,567.806,
,2016,6.49801525,0.0663,1.52,,262.88,1027,,5718,567.806,
,2016,6.49801525,0.0663,1.52,,262.88,1027,,5718,567.806,
,2016,6.498013,0.069,1.56,,,1039,,6057,567.806,
,2016,6.4980147,,,,,,,5733.54,567.806,
,2016,6.4980147,0.0669,1.87,,262.18,1026,,5727,567.806,
,2016,6.49802255,,,,,,,5733.54,567.806,
,2016,6.49801525,,1.5,,,,,5782,567.806,
,2016,6.49804884,,,,,,,5733.54,567.806,
,2016,,,1.998,,301.33,,,5728,567.806,
,2016,19.76172042,0.1464,2.46,,92.38,791,,6327,,
,2016,19.76172042,0.1464,2.46,,92.38,791,,6327,,
,2016,19.76176209,,,,,,,,,
,2016,19.76185973,,,,,,,,,
,2016,19.76169247,0.1464,2.81,,92.38,791,,6327,,
,2016,19.76172042,0.1464,2.46,,92.38,791,,6327,,
,2016,19.76191,0.149,2.6,,,793,,6321,,
,2016,19.76172042,,1.54,,,,,5328,,
,2016,,,3.616,,153.49,,,6332,,
,2016,19.76169247,,,,,,,,,
,2016,5.18500207,,1.44,,,,,4587,,
,2016,5.1849998,,,,,,,4549.53,,
,2016,5.18498,0.05,1.51,,,674,,4450,,
,2016,5.18500207,0.048,1.17,,42.62,652,,4325,,
,2016,5.18498961,0.048,1.15,,42.62,652,,4325,,
,2016,5.18498961,,,,,,,4549.53,,
,2016,5.18500207,0.048,1.17,,42.62,652,,4325,,
,2016,5.18500207,0.048,1.17,,42.62,652,,4325,,
,2016,5.18503596,,,,,,,4549.53,,
,2016,12.43931193,0.102,2.83,,174.46,927,,5108,282.565,
,2016,12.43929428,0.0951,1.3,,36.57,627,,4987,282.565,
,2016,12.43929428,,,,,,,5066.94,282.565,
,2016,,,1.245,,35.41,,,5045,282.565,
,2016,12.43931336,,,,,,,5066.94,282.565,
,2016,12.43931193,0.102,2.83,,174.46,927,,5108,282.565,
,2016,12.43931193,,1.28,,,,,5066,282.565,
,2016,12.43931193,0.102,2.83,,174.46,927,,5108,282.565,
,2016,12.439517,0.102,3.67,,,959,,5054,282.565,
,2016,12.43931689,,,,,,,5066.94,282.565,
,2016,11.35008767,,,,,,,3940,355.019,
,2016,11.35011832,,,,,,,3940,355.019,
,2016,11.35011917,,2.17,,,,,4027,355.019,
,2016,11.350106,0.081,1.94,,,460,,4086,355.019,
,2016,,,2.381,,11.56,,,3594,355.019,
,2016,11.35011917,0.0811,2.08,,9.26,445,,3901,355.019,
,2016,11.35010642,,,,,,,3940,355.019,
,2016,11.35010642,0.0796,1.75,,6.25,403,,3597,355.019,
,2016,11.35011917,0.0811,2.08,,9.26,445,,3901,355.019,
,2016,11.35011917,0.0811,2.08,,9.26,445,,3901,355.019,
,2014,3.48768943,0.0468,4.36,,656.81,1291,,5761,927.981,
,2014,3.487691,0.048,5.87,,,,,5570,927.981,
,2014,3.48768863,,,,,,,5580.04,927.981,
,2014,3.48768878,,,,,,,5580.04,927.981,
,2014,,,5.986,,1240.33,,,5661,927.981,
,2014,3.48768943,,4.43,,,,,5450,927.981,
,2014,3.48768943,0.0468,4.36,,656.81,1291,,5761,927.981,
,2014,3.48768943,0.0468,4.36,,656.81,1291,,5761,927.981,
,2014,3.4876812,0.0474,5.77,51.1,,1513,G3 IV,5667,927.981,
,2014,3.4876878,0.047,4.33,,,1233,,5764,927.981,
,2014,3.48768878,0.0461,5.64,,1033.07,1445,,5576,927.981,
,2014,6.02979518,0.0675,0.91,,315.74,1075,,5761,927.981,
,2014,6.029809,0.068,1.33,,,,,5570,927.981,
,2014,6.02908,0.067,0.96,,,1032,,5764,927.981,
,2014,6.02977241,0.0665,1.18,,496.46,1204,,5576,927.981,
,2014,6.02979518,0.0675,0.91,,315.74,1075,,5761,927.981,
,2014,6.02979518,,0.99,,,,,5450,927.981,
,2014,6.02977241,,,,,,,5580.04,927.981,
,2014,6.02979518,0.0675,0.91,,315.74,1075,,5761,927.981,
,2014,6.02976,0.0684,1.25,3.78,,1413,G3 IV,5667,927.981,
,2014,,,1.249,,596.07,,,5661,927.981,
,2016,34.2685705,0.1925,2.47,,14.56,498,,5325,579.273,
,2016,34.26749,0.191,2.4,,,490,,5299,579.273,
,2016,,,2.228,,10.17,,,5075,579.273,
,2016,34.2685741,,,,,,,5123,579.273,
,2016,34.2685705,0.1925,2.47,,14.56,498,,5325,579.273,
,2016,34.26852697,,,,,,,5123,579.273,
,2016,34.2685705,0.1925,2.47,,14.56,498,,5325,579.273,
,2016,34.26873173,,,,,,,5123,579.273,
,2016,34.2685705,,2.32,,,,,5253,579.273,
,2016,34.2685741,0.193,2.44,,12.2,477,,5083,579.273,
,2016,5.75322197,,2.87,,,,,5416,736.779,
,2016,5.75321539,0.0633,3.14,,169.44,920,,5445,736.779,
,2016,5.75322197,0.0633,3.05,,169.44,920,,5445,736.779,
,2016,5.7532225,,,,,,,5146,736.779,
,2016,5.75321539,,,,,,,5146,736.779,
,2016,5.75322197,0.0633,3.05,,169.44,920,,5445,736.779,
,2016,,,2.501,,108.79,,,5456,736.779,
,2016,5.7532239,,,,,,,5146,736.779,
,2016,5.753201,0.059,2.2,,,853,,5284,736.779,
,2016,5.75322197,0.0633,3.05,,169.44,920,,5445,736.779,
,2016,5.50860439,0.0598,1.29,,177.78,931,,5451,411.077,
,2016,5.5086102,,,,,,,5471.21,411.077,
,2016,5.50851139,,,,,,,5471.21,411.077,
,2016,5.50860439,,1.29,,,,,5556,411.077,
,2016,5.50860699,0.0585,1.49,,179.62,934,,5448,411.077,
,2016,5.50860439,0.0598,1.29,,177.78,931,,5451,411.077,
,2016,5.50860439,0.0598,1.29,,177.78,931,,5451,411.077,
,2016,,,1.505,,191.81,,,5500,411.077,
,2016,5.508576,0.058,1.34,,,986,,5517,411.077,
,2016,5.50860699,,,,,,,5471.21,411.077,
,2016,18.93054959,0.137,4.7,,81.42,766,,5015,422.246,
,2016,18.93055119,0.137,4.41,,81.42,766,,5015,422.246,
,2016,18.93054959,,2.15,,,,,4954,422.246,
