discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_spectype,st_teff,sy_dist,pl_name
Radial Velocity,1996,14.648,0.11,,266.9772,,,G8 V,5200,12.5855,BD-13 2130 b
Radial Velocity,1996,14.465314,0.11339,,266.966,,,,5250,12.5855,BD-17 63 b
Radial Velocity,1996,14.65152,0.115227,,263.9785,,,,,12.5855,BD-210397 b
Radial Velocity,1996,14.651,0.1134,,254.25,,,,5250,12.5855,BD-210397 c
Radial Velocity,1996,14.6516,0.1134,,255.4,,,,5172,12.5855,CD Cet b
Imaging,1996,14.65162,0.115,,261.881,,,,5250,12.5855,CFBDSIR J145829+101343 b
Imaging,1996,14.67,0.115,,249.17872,,,,,12.5855,CFHTWIR-Oph 98 b
Imaging,1996,14.6,0.113,,254.25,,700,K0 IV-V,,12.5855,CHXR 73 b
Radial Velocity,1996,14.65171,0.1162,,267.29369,,,,5317.89,12.5855,CI Tau b
Imaging,1996,14.653,0.115,,266.9772,,,G8 V,,12.5855,COCONUTS-2 b
Imaging,2004,44.3827,0.2432,,54.34866,,,,5317.89,12.5855,CT Cha b
Transit,2004,43.93,0.24,,68.96911,,,,,12.5855,CoRoT-1 b
Transit,2004,44.3787,0.238,,52.44,,,,5250,12.5855,CoRoT-10 b
Transit,2004,44.373,0.23735,,56.6985,,,,5250,12.5855,CoRoT-11 b
Transit,2004,44.3989,0.2373,,51.2,,,,5172,12.5855,CoRoT-12 b
Transit,2004,44.3446,0.24,,53.711,,,,5250,12.5855,CoRoT-13 b
Transit,2004,44.4175,0.241376,,54.4738,,,,,12.5855,CoRoT-14 b
Transit,2004,44.38,0.237,,52.44,,,,5250,12.5855,CoRoT-16 b
Transit,2002,4820,5.54,,908.98924,,,,5317.89,12.5855,CoRoT-17 b
Transit,2002,5218,5.77,,1218.827,,,,5250,12.5855,CoRoT-18 b
Transit,2002,5360,5.9,,1287.2115,,,G8 V,,12.5855,CoRoT-19 b
Transit,2002,5370,5.84,,1220.42,,,,5250,12.5855,CoRoT-2 b
Transit,2002,4545,5.28,,918.49,,,,,12.5855,CoRoT-20 b
Radial Velocity,2002,4825,5.503,,1232.493,,,,,12.5855,CoRoT-20 c
Transit,2002,4867,5.446,,1226.77,,,,5250,12.5855,CoRoT-21 b
Transit,2002,4517.4,5.257,,1243.35096,,,,,12.5855,CoRoT-22 b
Transit,2002,5574.2,5.957,,991.6,,,,5172,12.5855,CoRoT-23 b
Transit,2002,4909,5.47,,1121.89,,,,5250,12.5855,CoRoT-24 b
Transit,2004,,0.01544,1.92,8.08,,,,5250,12.5855,CoRoT-24 c
Transit,2004,0.7365417,,,,,,,,12.5855,CoRoT-25 b
Transit,2004,0.7365478,0.015439,,8.09479,,,,5250,12.5855,CoRoT-26 b
Transit,2004,0.736539,0.01544,1.91,8.08,,,,5250,12.5855,CoRoT-27 b
Transit,2004,2.79674,0.0377,,7.4687,,,,5250,12.5855,CoRoT-28 b
Transit,2004,0.73654582,,1.915,,2657.83,1831,,5250,12.5855,CoRoT-29 b
Transit,2004,0.7365437,0.01544,2.08,7.81,,1958,,5234,12.5855,CoRoT-3 b
Transit,2004,0.73654604,,,,,,,,12.5855,CoRoT-30 b
Transit,2004,2.808,0.038,,14.30235,,,,,12.5855,CoRoT-31 b
Transit,2004,0.737,,1.897,7.74,,,,5172,12.5855,CoRoT-35 b
