pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_gravitye,pl_gravity,pl_insol,pl_eqt,st_spectype,st_teff,glat,glon,sy_dist,xVal,yVal
TOI-2180 b,TOI-2180,2022,Transit,260.79,0.828,11.321,875.61726,6.831950844,67.0918,2.71,348,G5,5695,25.01309,85.74578,380.5755693,-343.9316027,25.58400463
TOI-2196 b,TOI-2196,2022,Transit,1.1947268,0.02234,3.51,26,2.110372481,20.7245,2000,1860,G V,5634,-35.17676,323.77267,847.8337192,409.5571229,559.0291481
TOI-244 b,TOI-244,2023,Transit,7.397225,0.0559,1.52,2.68,1.159972299,11.3913,7.3,458,M2.5 V,3433,-80.21632,313.7951,71.8643178,8.814727416,8.451572703
TOI-2641 b,TOI-2641,2023,Transit,4.880974,0.0607,18.103,122.68177,0.374350942,3.6762,602,1387,F9 V,6100,17.329,286.38094,1122.12471,1027.709674,302.0999504
TOI-269 b,TOI-269,2021,Transit,3.6977104,0.0345,2.77,8.8,1.146893613,11.2628,19,531,M2 V,3514,-37.32334,261.96005,185.9825205,146.4445168,-20.68557146
TOI-3629 b,TOI-3629,2022,Transit,3.936551,0.043,8.295,82.63539,1.200973156,11.7939,39,690,M1,3870,-22.44783,112.0229,424.3000933,-363.536272,-147.0472317
TOI-3714 b,TOI-3714,2022,Transit,2.154849,0.027,11.321,222.47988,1.735885841,17.0469,54,750,M2,3660,-5.02267,163.30436,367.6108533,-105.2045233,-350.7619123
TOI-3757 b,TOI-3757,2022,Transit,3.438753,0.03845,12,85.3,0.592361111,5.8172,55.4,759,M0 V,3913,15.59205,158.55829,590.796401,-208.0206079,-529.6706896
TOI-3785 b,TOI-3785,2023,Transit,4.6747373,0.043,5.14,14.95,0.565867765,5.557,19.1,582,M2 V,3576,36.58395,152.77829,260.1534162,-95.55776295,-185.7621305
TOI-3884 b,TOI-3884,2022,Transit,4.5445697,0.0354,6,16.5,0.458333333,4.501,7.42,463,M4,3269,71.95418,264.84462,140.7195169,43.41539258,-3.917022197
TOI-3984 A b,TOI-3984 A,2023,Transit,4.353326,0.041,7.9,44,0.705015222,6.9235,16.7,563,M4+/-0.5,3476,60.17839,60.26767,355.1288487,-153.3561466,87.58752533
TOI-4010 b,TOI-4010,2023,Transit,1.348335,0.0229,3.02,11,1.206087452,11.8441,714,1441,K V,4960,3.37092,125.91346,578.9406167,-468.074977,-338.9973847
TOI-4010 c,TOI-4010,2023,Transit,5.414654,0.058,5.93,20.31,0.57756456,5.6719,112,907,K V,4960,3.37092,125.91346,578.9406167,-468.074977,-338.9973847
TOI-4010 d,TOI-4010,2023,Transit,14.70886,0.113,6.18,38.15,0.998889831,9.8094,30,650,K V,4960,3.37092,125.91346,578.9406167,-468.074977,-338.9973847
TOI-4127 b,TOI-4127,2023,Transit,56.39879,0.3081,12.285,731.00534,4.84362183,47.5658,22.3,605,F V,6096,26.52673,142.64659,1042.500153,-565.9283645,-741.4523327
TOI-4201 b,TOI-4201,2023,Transit,3.5819194,0.04,13.675,788.21445,4.214923749,41.3918,45.2,725,M1.0+/-0.5,3794,-16.96484,219.66063,616.4714311,376.3344614,-453.9313434
TOI-421 b,TOI-421,2020,Transit,5.19672,0.056,2.68,7.17,0.998273558,9.8033,154.57,981,G9 V,5325,-24.93742,216.79355,243.9548597,132.4904678,-177.1452355
TOI-421 c,TOI-421,2020,Transit,16.06819,0.1189,5.09,16.42,0.633778625,6.2239,34.32,674,G9 V,5325,-24.93742,216.79355,243.9548597,132.4904678,-177.1452355
TOI-4603 b,TOI-4603,2023,Transit,7.24599,0.0888,11.68,4096.80817,30.03031885,294.9067,1192,1677,F,6264,-5.98612,185.2858,735.9490354,67.42873517,-728.8235301
TOI-500 b,TOI-500,2022,Transit,0.548177,0.01189,1.166,1.42,1.044458632,10.2569,1138,1617,K6 V,4440,-17.33308,258.09657,154.5733352,144.3810907,-30.43489528
TOI-5205 b,TOI-5205,2023,Transit,1.630757,0.0199,11.6,343,2.549048751,25.0324,49,737,M4.0,3430,-13.20303,69.534,281.9599054,-257.1798967,95.98171438
TOI-5293 A b,TOI-5293 A,2023,Transit,2.930289,0.034,11.9,170.4,1.203304851,11.8168,34.6,675,M3+/-1,3586,-60.07625,87.00512,529.12023,-263.5895591,13.79052426
TOI-5542 b,TOI-5542,2022,Transit,75.12375,0.332,11.31,419.5335,3.279755246,32.2082,9.6,441,G3 V,5700,-33.08256,335.72494,1137.793262,391.9347689,869.0477008
TOI-561 b,TOI-561,2020,Transit,0.4465688,0.0106,1.425,2,0.984918436,9.6722,4745,2310,G9 V,5372,42.72934,230.84909,279.8389105,159.4092256,-129.7837234
TOI-561 c,TOI-561,2020,Transit,10.778831,0.0884,2.91,5.39,0.636506418,6.2507,68.2,800,G9 V,5372,42.72934,230.84909,279.8389105,159.4092256,-129.7837234
TOI-561 d,TOI-561,2020,Transit,25.7124,0.158,2.82,13.2,1.659876264,16.3005,21.4,598,G9 V,5372,42.72934,230.84909,279.8389105,159.4092256,-129.7837234
TOI-561 e,TOI-561,2020,Transit,77.03,0.328,2.55,12.6,1.937716263,19.029,4.96,415,G9 V,5372,42.72934,230.84909,279.8389105,159.4092256,-129.7837234
TOI-615 b,TOI-615,2023,Transit,4.6615983,0.0678,18.977,138.25536,0.383907735,3.7701,1286,1666,F2 V,6850,2.71409,261.99981,1175.493678,1162.747547,-163.4174428
TOI-622 b,TOI-622,2023,Transit,6.402513,0.0708,9.236,96.30201,1.128931272,11.0864,602,1388,F6 V,6400,-5.54922,263.18581,402.141029,397.4290432,-47.49037488
TOI-674 b,TOI-674,2021,Transit,1.977143,0.025,5.25,23.6,0.856235828,8.4085,38.4,635,M2 V,3514,20.70965,279.02972,150.3094928,138.8547556,22.06627124
TOI-733 b,TOI-733,2023,Transit,4.884765,0.0618,1.992,5.72,1.441509008,14.1561,207.1,1056,G,5585,15.24205,277.34362,245.2996024,234.7295851,30.25120627
TOI-776 b,TOI-776,2020,Transit,8.24661,0.0652,1.85,4,1.168736304,11.4773,11.5,514,M1 V,3709,23.94395,290.576,88.61701398,75.82422642,28.46421025
TOI-776 c,TOI-776,2020,Transit,15.6653,0.1,2.02,5.3,1.298892265,12.7555,4.9,415,M1 V,3709,23.94395,290.576,88.61701398,75.82422642,28.46421025
TOI-824 b,TOI-824,2020,Transit,1.392978,0.02177,2.926,18.467,2.156987884,21.1823,412,1253,K4 V,4600,1.77774,318.14918,208.4993783,139.0424599,155.2332053
TOI-836 b,TOI-836,2023,Transit,3.81673,0.0422,1.704,4.53,1.560123653,15.3209,78.84,871,K V,4552,29.77712,336.931,89.70083163,30.50746994,71.63113104
TOI-836 c,TOI-836,2023,Transit,8.59545,0.075,2.587,9.6,1.43442675,14.0865,26.71,665,K V,4552,29.77712,336.931,89.70083163,30.50746994,71.63113104
TOI-908 b,TOI-908,2023,Transit,3.183792,0.041657,3.186,16.137,1.589758867,15.6119,80.88,1317,G V,5626,-33.63672,296.14549,573.2133107,428.4061875,210.2959541
TOI-969 b,TOI-969,2022,Transit,1.8237305,0.02636,2.765,9.1,1.19028544,11.689,188,941,K V,4435,11.87747,216.69969,251.9734142,147.3605393,-197.7015627
WASP-151 b,WASP-151,2017,Transit,4.533471,0.055,12.666,98.5273,0.614154466,6.0312,460,1290,G1,5871,-54.27961,79.21593,1477.811286,-847.5533376,161.4352379
WASP-153 b,WASP-153,2017,Transit,3.332609,0.048,17.374,123.9537,0.410638685,4.0326,1400,1700,G0,5914,19.63191,68.68938,1990.127939,-1746.275641,681.2173304
WASP-156 b,WASP-156,2017,Transit,3.836169,0.0453,5.717,40.68224,1.244710844,12.2234,150,970,K3,4910,-54.7599,159.09073,398.126044,-81.98469853,-214.5925173
WASP-166 b,WASP-166,2019,Transit,5.44354,0.0641,7.062,32.10083,0.643666394,6.321,440,1270,F9 V,6050,23.13623,253.96174,372.3825211,329.1046209,-94.60711057
WASP-173 A b,WASP-173 A,2018,Transit,1.3866529,0.02508,14.404,1102.8701,5.315671535,52.2015,1920,1842,G2,5767,-72.33626,3.29979,759.8791288,-13.27170562,230.1879227
WASP-193 b,WASP-193,2023,Transit,6.2463345,0.0676,16.41,44.17815,0.164055337,1.6111,413,1254,F9,6078,26.7008,275.36894,1180.969843,1050.408636,98.71836576
WASP-44 b,WASP-44,2011,Transit,2.423804,0.03453,12.33,276.5121,1.818812739,17.8613,533,1337,G8 V,5420,-72.63944,92.23763,1188.879136,-354.4718537,-13.85059008
XO-7 b,XO-7,2019,Transit,2.8641424,0.04421,15.39,225.34147,0.951401613,9.343,1540,1743,G0 V,6250,27.47379,117.58141,763.6918969,-600.561663,-313.7179803
pi Men c,HD 39091,2018,Transit,6.2679,0.06839,2.042,4.82,1.15594072,11.3517,309,1170,G0 V,6037,-29.77608,292.50808,59.58942252,47.78210657,19.79989152
